EE;Järsi;145;59.37083;25.02944
EE;Järva-Jaani;1051;59.03861;25.88639
EE;Järvakandi;1471;58.77889;24.82583
EE;Järve;682;59.40583;27.31111
EE;Järvere;211;57.84972;26.86889
EE;Jäärja;96;58.05;25.01583
EE;Jõesuu;393;58.49278;24.91139
EE;Jõgeva;6396;58.74667;26.39389
EE;Jõgeveste;153;57.98583;26.0375
EE;Jõgisoo;127;59.175;25.86306
EE;Jõgisoo;223;59.2743;24.50672
EE;Jõhvi;11469;59.35917;27.42111
EE;Jõõdre;267;58.86306;23.645
EE;Jõõpre;448;58.47333;24.32417
EE;Kaagjärve;317;57.76722;26.17722
EE;Kaagvere;285;58.34556;26.88389
EE;Kaalepi;222;59.1;25.68333
EE;Kaansoo;150;58.57444;25.16861
EE;Kaarepere;334;58.66333;26.52694
EE;Kaarlijärve;170;58.28611;26.15611
EE;Kaavere;128;58.46694;25.95556
EE;Kabala;366;58.68972;25.62722
EE;Kaberneeme;99;59.5125;25.26417
EE;Kabli;365;58.33583;24.73611
EE;Kadapiku;98;59.34917;26.12944
EE;Kadila;143;59.22472;26.33889
EE;Kadrina;2406;59.33472;26.145
EE;Kaerepere;544;58.96556;24.84361
EE;Kahala;112;59.45861;25.52722
EE;Kahula;101;59.34083;27.33528
EE;Kaisma;155;58.68972;24.78833
EE;Kalana;129;58.71778;26.03972
EE;Kalbu;119;58.90333;24.87278
EE;Kalesi;176;59.34306;25.13028
EE;Kalita;119;58.09611;24.92917
EE;Kallaste;1171;58.655;27.15917
EE;Kallavere;135;59.48639;25.0325
EE;Kalme;138;57.97944;25.97222
EE;Kalme;95;58.18528;26.35528
EE;Kalme;99;58.70278;25.86083
EE;Kamara;273;58.12083;25.19444
EE;Kamari;195;58.59472;26
EE;Kanaküla;128;58.24333;25.10694
EE;Kandiküla;135;58.38556;26.65056
EE;Kanepi;638;57.98306;26.75639
EE;Karilatsi;139;58.13833;26.91722
EE;Karinu;244;59.03611;25.96528
EE;Karitsa;116;59.28361;26.33833
EE;Karja;229;58.52083;22.70444
EE;Karjaküla;362;59.34028;24.38556
EE;Karjatnurme;130;58.00389;25.77917
EE;Karksi-Nuia;1986;58.10333;25.56278
EE;Karksi;528;58.11722;25.58778
EE;Karste;138;58.01361;26.66417
EE;Karula;102;57.75528;26.30028
EE;Karula;250;58.40889;25.61361
EE;Karula;290;57.75111;26.38389
EE;Kasepere;105;59.21306;24.16222
EE;Kasepya;271;58.52028;27.23
EE;Kasispea;100;59.59778;25.77306
EE;Kassinurme;152;58.67583;26.47778
EE;Kasti;244;58.87222;24.53667
EE;Kauksi;317;58.08833;27.22056
EE;Kavastu;284;58.37472;27.04417
EE;Kazepya;161;58.78611;26.96861
EE;Keava;294;58.94639;24.90333
EE;Keeni;351;57.95389;26.27972
EE;Kehra;3183;59.33611;25.32111
EE;Kehtna;1579;58.93028;24.87806
EE;Keila-Joa;378;59.39972;24.30444
EE;Keila;9411;59.30361;24.41306
EE;Kergu;234;58.67556;24.77139
EE;Kihelkonna;476;58.35222;22.04694
EE;Kihlepa;168;58.3975;24.23917
EE;Kihlevere;196;59.37639;26.13333
EE;Kiia;168;59.36694;24.48167
EE;Kiidjärve;127;58.13056;27.01278
EE;Kiikla;223;59.28611;27.23694
EE;Kiili;942;59.30694;24.83778
EE;Kiisa;551;59.23694;24.68889
EE;Kiiu;833;59.44778;25.37944
EE;Kiku;104;59.28333;26.10111
EE;Kilingi-Nõmme;2175;58.15028;24.96417
EE;Kilksama;195;58.45;24.55
EE;Kiltsi;275;59.08389;26.17333
EE;Kirbla;250;58.73444;23.95417
EE;Kirimäe;130;58.92056;23.76639
EE;Kirna;179;58.84833;25.46556
EE;Kirumpää;138;57.86889;26.99972
EE;Kivi-Vigala;293;58.71528;24.37694
EE;Kiviõli;6953;59.35306;26.97111
EE;Klooga;983;59.31972;24.21139
EE;Kloogaranna;105;59.34806;24.25444
EE;Kobela;468;57.84194;26.46389
EE;Kobruvere;178;58.47056;25.45389
EE;Kodila;336;59.0425;24.66833
EE;Koeru;1300;58.96306;26.03083
EE;Kohala;146;59.40417;26.52639
EE;Kohatu;214;59.16056;24.53389
EE;Kohila;3355;59.16806;24.7575
EE;Kohtla-Järve;46060;59.39861;27.27306
EE;Kohtla-Nõmme;1075;59.35167;27.175
EE;Koigi;448;59.17167;25.97306
EE;Koikküla;232;57.68972;26.28167
EE;Koimla;107;58.22306;22.13528
EE;Kokora;100;58.63083;27.06333
EE;Koksvere;225;58.62694;25.645
EE;Kolga-Aabla;101;59.56028;25.53556
EE;Kolga-Jaani;420;58.53306;25.94583
EE;Kolgaküla;520;59.52417;25.71972
EE;Kolkja;397;58.54556;27.215
EE;Kollino;301;57.81583;26.55889
EE;Kolu;130;58.79667;25.26944
EE;Koluvere;494;58.90528;24.10833
EE;Konguta;162;58.22528;26.29361
EE;Konju;125;59.39639;27.62667
EE;Koonga;303;58.5825;24.15417
EE;Koosa;548;58.52;27.07417
EE;Koruste;151;58.13472;26.18
EE;Kose-Uuemõisa;980;59.2;25.10528
EE;Kose;192;59.32528;27.48639
EE;Kose;2232;59.45806;24.87833
EE;Kose;549;57.81278;27.03694
EE;Kostivere;790;59.42556;25.10361
EE;Kraavi;227;57.85;26.55667
EE;Krabi;156;57.60956;26.83393
EE;Krei;94;59.18583;25.125
EE;Krootuse;417;58.07111;26.835
EE;Kudina;144;58.66889;26.69028
EE;Kudjape;450;58.25528;22.54917
EE;Kuimetsa;385;59.04333;25.12528
EE;Kuivajõe;129;59.175;25.11861
EE;Kuksema;171;59.01861;25.86056
EE;Kuldre;198;57.89417;26.47889
EE;Kulla;96;58.15917;25.43222
EE;Kullamaa;332;58.87889;24.08167
EE;Kumna;315;59.325;24.43889
EE;Kunda;3764;59.48417;26.56111
EE;Kureküla;154;58.27361;26.19222
EE;Kuremaa;594;58.73667;26.5225
EE;Kuremäe;369;59.2025;27.53639
EE;Kuressaare;14921;58.24806;22.50389
EE;Kurista;129;58.26778;26.99944
EE;Kurista;261;58.76083;26.32528
EE;Kurtna;199;59.26917;27.51528
EE;Kurtna;331;59.23139;24.71833
EE;Kuusalu;1238;59.44389;25.44139
EE;Kuusiku;210;58.97556;24.71861
EE;Kuutsi;100;57.59389;26.54583
EE;Kyao;104;58.47083;23.03639
EE;Kyapa;306;57.87083;27.10639
EE;Kyaru;131;58.9525;26.43333
EE;Kyaru;460;58.83389;25.14806
EE;Käina;854;58.82556;22.78972
EE;Käravete;295;59.19111;25.75417
EE;Kärde;134;58.84889;26.27111
EE;Kärdla;3763;58.99778;22.74917
EE;Kärevere;124;58.72167;25.52528
EE;Kärevere;153;58.43417;26.47583
EE;Kärkna;202;58.46972;26.62333
EE;Kärla;988;58.33583;22.25972
EE;Kärsa;117;58.1875;27.08139
EE;Kärstna;300;58.145;25.81
EE;Käsmu;112;59.60306;25.91639
EE;Käsukonna;142;58.79694;25.7525
EE;Käärdi;573;58.20806;26.41139
EE;Kõduküla;105;58.14722;26.3025
EE;Kõidama;191;58.53833;25.50056
EE;Kõljala;208;58.36639;22.69
EE;Kõmsi;155;58.62556;23.66167
EE;Kõnnu;121;58.83444;26.79028
EE;Kõnnu;99;59.48167;25.71861
EE;Kõo;318;58.62917;25.72111
EE;Kõpu;363;58.32694;25.31167
EE;Kõrkküla;104;58.26167;22.27028
EE;Kõrkvere;97;58.49;23.23639
EE;Kõrveküla;571;58.42417;26.78222
EE;Külaoru;121;57.74417;27.27389
EE;Külitse;361;58.32306;26.61222
EE;Laabi;106;59.40639;24.56194
EE;Laadi;205;58.2675;24.61083
EE;Laagri;4135;59.35083;24.61418
EE;Laanemetsa;94;57.65;26.31667
EE;Laatre;267;57.86889;26.25361
EE;Laekvere;472;59.06556;26.56556
EE;Laeva;468;58.49194;26.36167
